id,type,state,state_reason,title,body,author,created_at,assignees,updated_at,closed_at,url,labels,comments_list,comment_thread
2468811783,pull_request,closed,,[XLA:GPU] Enable fusing int4 parameters into Triton dots only for the pair convert -> dot.,"[XLA:GPU] Enable fusing int4 parameters into Triton dots only for the pair convert -> dot.
",copybara-service[bot],2024-08-15 19:50:08+00:00,[],2024-08-19 09:52:50+00:00,2024-08-19 09:52:50+00:00,https://github.com/tensorflow/tensorflow/pull/73886,[],[],
2468799849,pull_request,closed,,Tighten tolerances for Min exhaustive_binary_16_bit_test,"Tighten tolerances for Min exhaustive_binary_16_bit_test
",copybara-service[bot],2024-08-15 19:41:25+00:00,[],2024-08-15 20:58:30+00:00,2024-08-15 20:58:28+00:00,https://github.com/tensorflow/tensorflow/pull/73885,[],[],
2468772538,pull_request,closed,,"Delete `DockerImage` class, move methods to `Build`","Delete `DockerImage` class, move methods to `Build`
",copybara-service[bot],2024-08-15 19:22:38+00:00,['ddunl'],2024-08-15 22:36:18+00:00,2024-08-15 22:36:17+00:00,https://github.com/tensorflow/tensorflow/pull/73884,[],[],
2468753814,pull_request,closed,,[xla:cpu] Split convolution thunk compilation by data type,"[xla:cpu] Split convolution thunk compilation by data type

We can split further by 2d/3d and device type, but for now it's only a data type split + preparing for more cleanup
",copybara-service[bot],2024-08-15 19:10:37+00:00,['ezhulenev'],2024-08-16 06:51:19+00:00,2024-08-16 06:51:17+00:00,https://github.com/tensorflow/tensorflow/pull/73883,[],[],
2468753215,pull_request,closed,,[xla] Document XLA debug options organization,"[xla] Document XLA debug options organization
",copybara-service[bot],2024-08-15 19:10:12+00:00,['ezhulenev'],2024-08-16 02:00:58+00:00,2024-08-16 02:00:58+00:00,https://github.com/tensorflow/tensorflow/pull/73882,[],[],
2468742795,pull_request,closed,,[XLA:GPU] Use Cost Model to choose tiles for Triton fusions in PriorityFusion.,"[XLA:GPU] Use Cost Model to choose tiles for Triton fusions in PriorityFusion.
",copybara-service[bot],2024-08-15 19:03:29+00:00,[],2024-08-16 14:55:53+00:00,2024-08-16 14:55:52+00:00,https://github.com/tensorflow/tensorflow/pull/73881,[],[],
2468734313,pull_request,closed,,Tighten tolerances for Max exhaustive_binary_16_bit_test,"Tighten tolerances for Max exhaustive_binary_16_bit_test
",copybara-service[bot],2024-08-15 18:57:28+00:00,[],2024-08-15 19:39:03+00:00,2024-08-15 19:39:02+00:00,https://github.com/tensorflow/tensorflow/pull/73880,[],[],
2468725236,pull_request,closed,,Remove unnecessary commands in macos build script now that we use hermetic python,"Remove unnecessary commands in macos build script now that we use hermetic python
",copybara-service[bot],2024-08-15 18:51:27+00:00,['ddunl'],2024-08-19 22:31:14+00:00,2024-08-19 22:31:12+00:00,https://github.com/tensorflow/tensorflow/pull/73879,[],[],
2468650988,pull_request,open,,Remove the MLIR passes that are Migrated to tflite.,"Remove the MLIR passes that are Migrated to tflite.
",copybara-service[bot],2024-08-15 18:22:02+00:00,['majiddadashi'],2024-08-15 18:22:03+00:00,,https://github.com/tensorflow/tensorflow/pull/73878,[],[],
2468614052,pull_request,closed,,Migrate PyTorch passes from ai_edge_torch to the tflite converter.,"Migrate PyTorch passes from ai_edge_torch to the tflite converter.
",copybara-service[bot],2024-08-15 17:57:44+00:00,['majiddadashi'],2024-08-15 21:38:09+00:00,2024-08-15 21:38:07+00:00,https://github.com/tensorflow/tensorflow/pull/73877,[],[],
2468579857,pull_request,closed,,[Numpy] Fix integer overflow errors introduced by NumPy 2.0 update.,"[Numpy] Fix integer overflow errors introduced by NumPy 2.0 update.

To maintain compatibility with NumPy 1.x overflow behavior, this change updates certain direct type casting and array creation operations. Specifically, `dtype(...)` and `np.array(..., dtype=...)` is replaced with `np.array(...).astype(...)` to prevent unintended overflows.
",copybara-service[bot],2024-08-15 17:34:46+00:00,['kanglant'],2024-08-16 00:29:38+00:00,2024-08-16 00:29:37+00:00,https://github.com/tensorflow/tensorflow/pull/73876,[],[],
